longitude,latitude
47.1245,40.0865
47.1567,40.0676
47.1890,40.0486
47.2212,40.0296
47.2212,40.0296
47.2534,40.0106
47.2856,39.9916
47.3178,39.9726
47.3178,39.9726
47.3499,39.9536
47.3821,39.9346
47.3821,39.9346
47.4142,39.9156
47.4463,39.8965
47.4784,39.8774
47.4784,39.8774
47.5104,39.8584
47.5425,39.8393
47.5745,39.8202
47.5745,39.8202
47.6065,39.8011
47.6384,39.7820
47.6704,39.7629
47.6704,39.7629
47.7024,39.7438
47.7343,39.7246
47.7662,39.7055
47.7662,39.7055
47.7981,39.6863
47.8299,39.6672
47.8618,39.6480
47.8618,39.6480
47.8936,39.6288
47.9254,39.6096
47.9572,39.5904
47.9572,39.5904
47.9890,39.5712
48.0208,39.5520
48.0525,39.5327
48.0525,39.5327
48.0842,39.5135
48.1159,39.4942
48.1476,39.4749
48.1476,39.4749
48.1793,39.4557
48.2109,39.4364
48.2109,39.4364
48.2425,39.4171
48.2741,39.3978
48.3057,39.3785
48.3057,39.3785
48.3373,39.3592
48.3688,39.3398
48.4004,39.3205
48.4004,39.3205
48.4319,39.3011
48.4634,39.2818
48.4948,39.2624
48.4948,39.2624
48.5263,39.2430
48.5577,39.2236
48.5891,39.2042
48.5891,39.2042
48.6206,39.1848
48.6519,39.1654
